section,variable,documented_unit,documented_meaning,documented_access,semantic,fsgap_classification,fsgap_field_or_gap,audit_note,source
"Avionics","L:A22X Master Caution Warning","Bool","Acknowledges master caution/warning alert when set","WRITE_ACTION","EVENT","NOT_RELEVANT","","Write action (acknowledge). FSGAP never writes.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X Caution PBA","Bool","Whether the master caution annunciator is illuminated","READ","WARNING_INDICATION","MIGRATE_CANDIDATE","GAP G-A1 AircraftAlert (master caution / master warning)","Annunciator illuminated. Needs a new vendor-neutral contract; no current field.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X Warning PBA","Bool","Whether the master warning annunciator is illuminated","READ","WARNING_INDICATION","MIGRATE_CANDIDATE","GAP G-A1 AircraftAlert (master caution / master warning)","Annunciator illuminated. Needs a new vendor-neutral contract; no current field.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X Display Tune Inhibit","Bool","Toggles inhibition of display radio tuning when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X Display Tune Inhibited","Bool","Whether display radio tuning is currently inhibited","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X L Chrono","Bool","Toggles chronometer when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Avionics","L:A22X R Chrono","Bool","Toggles chronometer when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Brakes","L:A22X Alternate Brake","Bool","Whether the alternate brake system is selected","READ","CONTROL_POSITION","DEFER","","Alternate / reversion control; no consumer need identified.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Brakes","L:A22X Parking Brake","Bool","Whether the parking brake is commanded on","READ","CONTROL_POSITION","MIGRATE_CANDIDATE","GAP G-B1 LandingGear.ParkingBrakeSet, P1","Commanded on. Stock BRAKE PARKING POSITION is the generic candidate to compare live.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Brakes","L:A22X Autobrake","Enum","Selected autobrake setting [enum from 0: RTO; OFF; LO; MED; HI; ]","READ","CONTROL_POSITION","APPLICATION_SPECIFIC","","Selector RTO/OFF/LO/MED/HI; a landing analysis may want it. No contract.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X DU1 Backlight","Percent over 100","Display backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X DU2 Backlight","Percent over 100","Display backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X DU3 Backlight","Percent over 100","Display backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X DU4 Backlight","Percent over 100","Display backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X DU5 Backlight","Percent over 100","Display backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X L Outboard Brightness","Percent over 100","Sets display brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X L Inboard Brightness","Percent over 100","Sets display brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X R Inboard Brightness","Percent over 100","Sets display brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X R Outboard Brightness","Percent over 100","Sets display brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Display Units","L:A22X Lower Brightness","Percent over 100","Sets display brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X L MKP Brightness","Number","The brightness setting of the {side} (L/R) multifunction keyboard panel's backlighting","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X R MKP Brightness","Number","The brightness setting of the {side} (L/R) multifunction keyboard panel's backlighting","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X L MKP Powered","Bool","Whether the {side} (L/R) multifunction keyboard panel is powered","READ","ACTUAL_SYSTEM_STATE","NOT_RELEVANT","","Keyboard panel power.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
